movie_title,year,sequel,mpaa_rating,length_min,imdb_rating,metascore,gross_mil,director,director_dem,director_w,director_poc,star1,star1_dem,star_w,star_poc,studio,released,combined_dem,img
Superman Returns,2006,0,PG-13,154,6.1,72,200.08,Bryan Singer,WM,0,0,Brandon Routh,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/mAZ9zR7I7TjWvL4Yw3HkchsTeGM.jpg
X-Men: The Last Stand,2006,2,PG-13,104,6.7,58,234.36,Brett Ratner,WM,0,0,Patrick Steward,WM,0,0,X-Men,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/oEtjB6MjCW76eBzPnh5DDg6bVQz.jpg
Spider-Man 3,2007,2,PG-13,139,6.2,59,336.53,Sam Raimi,WM,0,0,Tobey Maguire,WM,0,0,Marvel,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/2N9lhZg6VtVJoGCZDjXVC3a81Ea.jpg
Fantastic 4: Rise of the Silver Surfer,2007,1,PG,92,5.6,45,131.92,Tim Story,BM,0,1,Ioan Gruffudd,WM,0,0,Marvel,1,2,https://image.tmdb.org/t/p/w440_and_h660_face/fXpziQgnBnB4bLgjKhjTbLQumE5.jpg
Ghost Rider,2007,0,PG-13,114,5.2,35,115.8,Mark Steven Johnson,WM,0,0,Nicholas Cage,WM,0,0,Marvel,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/jnllnSq8u4d1oQPU7PsoAHD6bLU.jpg
The Dark Knight,2008,1,PG-13,152,9,84,534.86,Christopher Nolan,WM,0,0,Christian Bale,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/qJ2tW6WMUDux911r6m7haRef0WH.jpg
Iron Man,2008,0,PG-13,126,7.9,79,318.41,Jon Favreau,WM,0,0,Robert Downey Jr.,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/78lPtwv72eTNqFW9COBYI0dWDJa.jpg
The Incredible Hulk,2008,0,PG-13,112,6.8,61,134.52,Louis Leterrier,WM,0,0,Edward Norton,WM,0,0,MCU,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/7wEThLTqQQTtTO07s5VU4uh6FTr.jpg
Punisher: War Zone,2008,1,R,103,6,30,7.95,Lexi Alexander,WF,1,0,Ray Stevenson,WM,0,0,Marvel,1,1,https://image.tmdb.org/t/p/w440_and_h660_face/hl8Idw3OHvDB883gvQlppnM7qkj.jpg
Watchmen,2009,0,R,162,7.6,56,107.51,Zack Snyder,WM,0,0,Jackie Earle Haley,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/1QqwJBv5a6ddgzaT6cLytJioyrJ.jpg
